2025-04-22 18:18:49,137 DEBUG   SenderThread:615969 [sender.py:send_request():406] send_request: python_packages
2025-04-22 18:18:49,138 DEBUG   SenderThread:615969 [sender.py:send():379] send: telemetry
2025-04-22 18:18:49,179 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:18:49,179 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: stop_status
2025-04-22 18:18:49,180 DEBUG   SenderThread:615969 [sender.py:send_request():406] send_request: stop_status
2025-04-22 18:18:49,458 INFO    Thread-12 :615969 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/levi/Documents/MOORE-TDMPC/moore_tdmpc/logs/cheetah-run/42/moore-tdmpc2-mt30/wandb/run-20250422_181845-1t7innhg/files/conda-environment.yaml
2025-04-22 18:18:49,459 INFO    Thread-12 :615969 [dir_watcher.py:_on_file_created():271] file/dir created: /home/levi/Documents/MOORE-TDMPC/moore_tdmpc/logs/cheetah-run/42/moore-tdmpc2-mt30/wandb/run-20250422_181845-1t7innhg/files/requirements.txt
2025-04-22 18:18:49,459 INFO    Thread-12 :615969 [dir_watcher.py:_on_file_created():271] file/dir created: /home/levi/Documents/MOORE-TDMPC/moore_tdmpc/logs/cheetah-run/42/moore-tdmpc2-mt30/wandb/run-20250422_181845-1t7innhg/files/wandb-metadata.json
2025-04-22 18:18:50,138 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:18:50,936 INFO    wandb-upload_0:615969 [upload_job.py:push():130] Uploaded file /tmp/tmp5grrfheswandb/kharvjab-wandb-metadata.json
2025-04-22 18:18:50,950 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: status_report
2025-04-22 18:18:51,138 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:18:51,459 INFO    Thread-12 :615969 [dir_watcher.py:_on_file_created():271] file/dir created: /home/levi/Documents/MOORE-TDMPC/moore_tdmpc/logs/cheetah-run/42/moore-tdmpc2-mt30/wandb/run-20250422_181845-1t7innhg/files/output.log
2025-04-22 18:18:52,138 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:18:53,138 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:18:53,459 INFO    Thread-12 :615969 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/levi/Documents/MOORE-TDMPC/moore_tdmpc/logs/cheetah-run/42/moore-tdmpc2-mt30/wandb/run-20250422_181845-1t7innhg/files/output.log
2025-04-22 18:18:54,138 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:18:55,138 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:18:56,138 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: status_report
2025-04-22 18:18:56,138 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:18:57,138 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:18:58,138 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:18:59,138 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:19:00,139 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
2025-04-22 18:19:01,139 DEBUG   HandlerThread:615969 [handler.py:handle_request():158] handle_request: internal_messages
